,date,team_1,team_1_score,team_2,team_2_score,field
153,3/29/1997,Cornell,8,Ithaca,1,@neutral
154,4/05/1997,Brown,1,Cornell,0,@neutral
155,4/05/1997,Cornell,8,Brown,3,@neutral
156,4/06/1997,Yale,1,Cornell,0,@neutral
157,4/06/1997,Yale,6,Cornell,3,@neutral
158,4/10/1997,Ithaca,9,Cornell,1,@neutral
159,4/12/1997,Harvard,2,Cornell,1,@Harvard
160,4/12/1997,Harvard,9,Cornell,7,@Harvard
161,4/13/1997,Dartmouth,12,Cornell,7,@neutral
162,4/13/1997,Dartmouth,13,Cornell,3,@neutral
163,4/15/1997,LeMoyne,14,Cornell,8,@neutral
164,4/16/1997,Penn State,5,Cornell,3,@neutral
165,4/16/1997,Penn State,7,Cornell,5,@neutral
166,4/20/1997,Cornell,4,Pennsylvania,3,@neutral
167,4/20/1997,Pennsylvania,5,Cornell,4,@neutral
168,4/21/1997,Cornell,11,Pennsylvania,8,@neutral
169,4/21/1997,Pennsylvania,7,Cornell,4,@neutral
170,4/22/1997,Cornell,10,LeMoyne,4,@neutral
171,4/26/1997,Cornell,5,Columbia,4,@neutral
172,4/26/1997,Cornell,9,Columbia,3,@neutral
173,4/27/1997,Columbia,13,Cornell,12,@neutral
174,4/27/1997,Columbia,21,Cornell,18,@neutral
175,4/30/1997,Bucknell,11,Cornell,1,@neutral
176,4/30/1997,Bucknell,5,Cornell,2,@neutral
177,5/02/1997,Cornell,6,Princeton,3,@neutral
178,5/02/1997,Princeton,2,Cornell,1,@neutral
179,5/04/1997,Cornell,3,Princeton,2,@neutral
180,5/04/1997,Princeton,9,Cornell,3,@neutral
181,3/16/1998,Mercer,18,Cornell,3,@Mercer
182,3/16/1998,Mercer,7,Cornell,4,@Mercer
183,3/19/1998,Georgia State,5,Cornell,0,@Georgia State
184,3/20/1998,Georgia State,15,Cornell,10,@Georgia State
185,3/21/1998,Georgia State,10,Cornell,7,@Georgia State
186,4/04/1998,Cornell,11,Dartmouth,1,@Cornell
187,4/04/1998,Cornell,8,Dartmouth,5,@Cornell
188,4/05/1998,Harvard,3,Cornell,1,@Cornell
189,4/05/1998,Harvard,8,Cornell,3,@Cornell
190,4/07/1998,LeMoyne,8,Cornell,4,@Cornell
191,4/10/1998,Yale,16,Cornell,10,@Yale
192,4/10/1998,Cornell,14,Yale,8,@Yale
193,4/11/1998,Cornell,3,Brown,1,@Brown
194,4/11/1998,Cornell,9,Brown,7,@Brown
195,4/14/1998,Penn State,12,Cornell,3,@Penn State
196,4/18/1998,Pennsylvania,4,Cornell,0,@Pennsylvania
197,4/18/1998,Pennsylvania,7,Cornell,4,@Pennsylvania
198,4/20/1998,Cornell,8,Pennsylvania,6,@Pennsylvania
199,4/20/1998,Cornell,9,Pennsylvania,8,@Pennsylvania
200,4/25/1998,Cornell,6,Columbia,5,@Cornell
201,4/25/1998,Cornell,9,Columbia,6,@Cornell
202,4/27/1998,Cornell,6,Columbia,1,@Cornell
203,4/27/1998,Columbia,6,Cornell,5,@Cornell
204,4/28/1998,Cornell,6,Bucknell,5,@Bucknell
205,4/28/1998,Bucknell,8,Cornell,7,@Bucknell
206,5/01/1998,Cornell,5,Princeton,3,@Cornell
207,5/01/1998,Princeton,8,Cornell,6,@Cornell
208,5/03/1998,Princeton,4,Cornell,3,@Princeton
209,5/03/1998,Cornell,4,Princeton,1,@Princeton
210,3/20/1999,Cornell,14,Iona,6,@neutral
211,3/21/1999,Indiana,12,Cornell,6,@neutral
212,3/22/1999,Florida Atlantic,4,Cornell,2,@Florida Atlanti
213,3/22/1999,Wright State,19,Cornell,4,@neutral
214,3/23/1999,Florida Atlantic,9,Cornell,0,@Florida Atlanti
215,3/24/1999,Barry,4,Cornell,3,@Barry
216,3/25/1999,Wright State,4,Cornell,0,@neutral
217,3/26/1999,Kent,16,Cornell,8,@neutral
218,3/27/1999,Wright State,15,Cornell,6,@neutral
219,3/31/1999,Ithaca,3,Cornell,2,@Ithaca
220,3/31/1999,Ithaca,4,Cornell,3,@Ithaca
221,4/02/1999,Yale,6,Cornell,5,@Cornell
222,4/02/1999,Yale,9,Cornell,8,@Cornell
223,4/03/1999,Brown,7,Cornell,4,@Cornell
224,4/03/1999,Cornell,3,Brown,1,@Cornell
225,4/06/1999,Penn State,11,Cornell,10,@Cornell
226,4/06/1999,Penn State,12,Cornell,2,@Cornell
227,4/10/1999,Cornell,5,Dartmouth,1,@Dartmouth
228,4/10/1999,Dartmouth,9,Cornell,7,@Dartmouth
229,4/11/1999,Harvard,3,Cornell,0,@Harvard
