2347641, 2020: Jersey is '2G'?

ACC
failure: Justin Coppeta (2117128) | season: 2019 (14781) | school: Assumption (36)
failure: Sean Birch (2125844) | season: 2019 (14781) | school: Saint Michael's (613)
failure: Landon Fagle (2126346) | season: 2019 (14781) | school: Bentley (56)
failure: Evan Hapkiewicz (2126347) | season: 2019 (14781) | school: Bentley (56)
failure: David Van Beuekom (2126348) | season: 2019 (14781) | school: Bentley (56)
failure: Zack Pincince (2126728) | season: 2019 (14781) | school: New Haven (470)
failure: Tyler String (2126736) | season: 2019 (14781) | school: New Haven (470)
failure: Turner Jamieson (2134270) | season: 2019 (14781) | school: Merrimack (410)
failure: Ben Nelson (2134292) | season: 2019 (14781) | school: Merrimack (410)
failure: Sean Thompson (2134296) | season: 2019 (14781) | school: Merrimack (410)
failure: Brayden Howrigan (2134307) | season: 2019 (14781) | school: Merrimack (410)
failure: Do Not Use (2142344) | season: 2019 (14781) | school: St. Anselm (593)
failure: Ryan Lavelle (2144425) | season: 2019 (14781) | school: Franklin Pierce (241)
failure: Ryan Abel (2146951) | season: 2019 (14781) | school: Stonehill (682)
failure: Joans Espinal (2148138) | season: 2019 (14781) | school: American Int'l (22)
failure: Joe Oliver (2148139) | season: 2019 (14781) | school: American Int'l (22)
failure: Angel Gonzalez (2148140) | season: 2019 (14781) | school: American Int'l (22)
failure: Angel Rivera (2148159) | season: 2019 (14781) | school: American Int'l (22)
failure: Cam Fitzgerald (2148161) | season: 2019 (14781) | school: American Int'l (22)
failure: Titus Kaewthong (2148162) | season: 2019 (14781) | school: American Int'l (22)
failure: Rady Rojas-Portilla (2148163) | season: 2019 (14781) | school: American Int'l (22)
failure: N C (2149590) | season: 2019 (14781) | school: Pace (533)
failure: J C (2149591) | season: 2019 (14781) | school: Pace (533)
failure: D D (2149592) | season: 2019 (14781) | school: Pace (533)
failure: Tommy Costa (2151327) | season: 2019 (14781) | school: Assumption (36)
failure: Kyle Moran (2335057) | season: 2020 (15204) | school: Stonehill (682)
failure: Colin Jaena (2335068) | season: 2020 (15204) | school: Stonehill (682)
failure: Edward Beauregard Jr. (2335078) | season: 2020 (15204) | school: Stonehill (682)
failure: Nathaniel Lapoint (2335081) | season: 2020 (15204) | school: Stonehill (682)
failure: Ricky Offenberg (2345582) | season: 2020 (15204) | school: Bentley (56)
failure: Roan Moran (2346654) | season: 2020 (15204) | school: Southern Conn. St. (658)
failure: Mike Shepa (2346695) | season: 2020 (15204) | school: Southern Conn. St. (658)
failure: Zach Ridger (2360682) | season: 2020 (15204) | school: Southern Conn. St. (658)
