,index,Year,Team,GP,AB,H,BA,OBPct,TB,SlgPct,R,2B,3B,HR,RBI,BB,HBP,SF,SH,K,DP,SB,CS,Picked,IBB,season_id,school_id,stats_player_seq,name,G,RBI2out,OPP DP
1484,1,2017-18,{'href': '/team/80/12973'},37,143,38,0.266,0.338,63,0.441,25,5,1,6,14,12,4,1,1,45,2,5,1,-,-,12560,80,1866794,Garett Delano,-,-,
1485,2,2018-19,{'href': '/team/80/14781'},37,142,41,0.289,0.354,65,0.458,25,6,0,6,25,15,1,3,1,31,3,4,-,-,-,12560,80,1866794,Garett Delano,-,-,
1486,3,2019-20,{'href': '/team/80/15204'},12,48,8,0.167,0.231,10,0.208,9,2,0,0,3,4,-,-,-,9,-,-,-,-,-,12560,80,1866794,Garett Delano,-,-,
1487,4,2020-21,{'href': '/team/406/15580'},53,190,64,0.337,0.433,106,0.558,37,13,1,9,52,31,2,1,3,35,-,3,2,-,3,12560,80,1866794,Garett Delano,-,-,
1488,0,2016-17,{'href': '/team/158/12560'},37,150,50,0.333,0.408,64,0.427,32,14,-,-,17,15,4,-,3,23,4,2,3,-,-,12560,158,1872547,Julian Bury,-,-,
1489,1,2017-18,{'href': '/team/158/12973'},45,182,43,0.236,0.280,45,0.247,21,2,0,0,17,9,2,-,3,18,3,3,2,-,-,12560,158,1872547,Julian Bury,-,-,
1490,2,2018-19,{'href': '/team/158/14781'},42,188,59,0.314,0.356,78,0.415,29,16,0,1,18,11,2,1,3,18,2,2,1,-,-,12560,158,1872547,Julian Bury,-,-,
1491,3,2019-20,{'href': '/team/158/15204'},8,31,11,0.355,0.429,14,0.452,5,0,0,1,1,3,1,-,-,4,1,1,2,-,-,12560,158,1872547,Julian Bury,-,-,
1492,4,2020-21,{'href': '/team/370/15580'},47,187,63,0.337,0.403,82,0.439,23,8,1,3,28,22,-,2,-,37,4,7,6,-,3,12560,158,1872547,Julian Bury,-,-,
1493,0,2016-17,{'href': '/team/158/12560'},2,6,2,0.333,0.333,2,0.333,1,-,-,-,2,-,-,-,-,1,-,-,-,-,-,12560,158,1872548,Alex Fisher,-,-,
1494,1,2017-18,{'href': '/team/158/12973'},1,1,-,0.000,0.500,0,0.000,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,12560,158,1872548,Alex Fisher,-,-,
1495,0,2016-17,{'href': '/team/158/12560'},4,1,-,0.000,0.000,0,0.000,1,-,-,-,-,-,-,-,-,1,-,-,1,-,-,12560,158,1872549,Lynnard Rose,-,-,
1496,0,2016-17,{'href': '/team/158/12560'},39,133,45,0.338,0.461,62,0.466,25,5,-,4,25,25,6,1,-,34,1,1,1,-,1,12560,158,1872550,Liam Mcgill,-,-,
1497,1,2017-18,{'href': '/team/158/12973'},50,200,64,0.320,0.397,100,0.500,37,14,2,6,31,22,5,2,-,53,2,-,-,-,-,12560,158,1872550,Liam Mcgill,-,-,
1498,2,2018-19,{'href': '/team/158/14781'},39,157,47,0.299,0.395,69,0.439,22,10,0,4,24,19,7,2,-,25,4,-,-,-,3,12560,158,1872550,Liam Mcgill,-,-,
1499,3,2019-20,{'href': '/team/158/15204'},8,29,8,0.276,0.353,9,0.310,1,1,0,0,3,4,-,1,-,7,1,-,-,-,-,12560,158,1872550,Liam Mcgill,-,-,
1500,4,2020-21,{'href': '/team/81/15580'},37,138,65,0.471,0.541,103,0.746,46,9,1,9,50,22,6,6,-,23,3,2,-,-,1,12560,158,1872550,Liam Mcgill,-,-,
1501,0,2016-17,{'href': '/team/158/12560'},14,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12560,158,1872551,Leo Pollack,-,-,
1502,1,2017-18,{'href': '/team/158/12973'},26,-,-,-,-,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,12560,158,1872551,Leo Pollack,-,-,
1503,2,2018-19,{'href': '/team/158/14781'},14,-,-,-,-,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,12560,158,1872551,Leo Pollack,-,-,
1504,0,2016-17,{'href': '/team/158/12560'},30,87,13,0.149,0.260,17,0.195,10,1,-,1,12,13,-,-,2,28,2,3,-,-,-,12560,158,1872552,Aj Difillipo,-,-,
1505,1,2017-18,{'href': '/team/158/12973'},38,124,32,0.258,0.340,43,0.347,21,4,2,1,12,16,-,1,3,23,2,-,1,-,-,12560,158,1872552,Aj Difillipo,-,-,
1506,2,2018-19,{'href': '/team/158/14781'},38,123,23,0.187,0.300,40,0.325,18,6,4,1,22,20,2,5,4,29,3,4,1,-,-,12560,158,1872552,Aj Difillipo,-,-,
1507,3,2019-20,{'href': '/team/158/15204'},6,18,2,0.111,0.111,4,0.222,1,0,1,0,-,-,-,-,1,6,-,-,-,-,-,12560,158,1872552,Aj Difillipo,-,-,
1508,4,2020-21,{'href': '/team/45/15580'},17,65,18,0.277,0.362,25,0.385,13,4,-,1,16,11,-,4,-,8,1,1,-,-,1,12560,158,1872552,Aj Difillipo,-,-,
1509,0,2016-17,{'href': '/team/158/12560'},4,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12560,158,1872553,Nick O'Brien,-,-,
1510,0,2016-17,{'href': '/team/158/12560'},9,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12560,158,1872554,Ben Wereski,-,-,
1511,1,2017-18,{'href': '/team/158/12973'},13,-,-,-,-,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,12560,158,1872554,Ben Wereski,-,-,
1512,2,2018-19,{'href': '/team/158/14781'},10,-,-,-,-,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,12560,158,1872554,Ben Wereski,-,-,
1513,3,2020-21,{'href': '/team/587/15580'},13,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12560,158,1872554,Ben Wereski,-,-,
1514,0,2016-17,{'href': '/team/158/12560'},5,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12560,158,1872555,Will West,-,-,
1515,1,2019-20,{'href': '/team/158/15204'},3,-,-,-,-,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,12560,158,1872555,Will West,-,-,
1516,2,2020-21,{'href': '/team/574/15580'},1,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12560,158,1872555,Will West,-,-,
1517,0,2016-17,{'href': '/team/158/12560'},10,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12560,158,1872557,Jordan Chriss,-,-,
1518,1,2017-18,{'href': '/team/158/12973'},14,-,-,-,-,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,12560,158,1872557,Jordan Chriss,-,-,
1519,2,2018-19,{'href': '/team/158/14781'},12,-,-,-,-,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,12560,158,1872557,Jordan Chriss,-,-,
1520,0,2016-17,{'href': '/team/158/12560'},12,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12560,158,1872558,Dan Harrington,-,-,
